friendly_name,sheet_url
Semi-non serviceable ,https://docs.google.com/spreadsheets/d/19dXY-Eslz9mR9X_OJsLdvEyGZ11RDKEZrVCP1DtLEWc/edit?usp=sharing 
Serviceable (uniserv sheet) ,https://docs.google.com/spreadsheets/d/1yM0z_C2RouNZeUhEiQNIAbOc0psqybOvv_Jx1vuIqzc/edit?usp=sharing 
  Noida ,https://docs.google.com/spreadsheets/d/1vBpW92HryNkPsIEwbRnUDam63ku9TMnIaejFbm-SSv8/edit?usp=sharing 
Mumbai ,https://docs.google.com/spreadsheets/d/1l80qdL9bxd_uCX_d09GFRYLPXcl930LeGzpa-7wmBOI/edit?usp=sharing 
Jaipur ,https://docs.google.com/spreadsheets/d/1b7KHJdutYFrubRShFC5Ahwgs7MUoyqLjOj08GUDUC1Y/edit?usp=sharing 
Delhi,https://docs.google.com/spreadsheets/d/1yNrCQBd_MOayWVzlze1-7KUp5uEi-p9Ya2eKgb2LmiM/edit?usp=sharing 
Surat ,https://docs.google.com/spreadsheets/d/1mX8WIg5DnrVq6LGZtyVPhoUApAbiUzdAjjO1UzU0di0/edit?usp=sharing 
Kolkata ,https://docs.google.com/spreadsheets/d/1PPNuFoNV648RGmNsgWw1kn2_2_slCGSmTh2Oc2n2FYE/edit?usp=sharing 
Dhanbad ,https://docs.google.com/spreadsheets/d/1qVdhirAycThzYHSMV6rDlL8egsyg3ODusBSzwUivpsw/edit?usp=sharing 
Ghaziabad/Gurugram/Faridabad ,https://docs.google.com/spreadsheets/d/1hu6DAjmOh6YAt0Sblpug0mZio4HeOvEKt4ClFn_LXFI/edit?usp=sharing 
,
Hyderabad ,https://docs.google.com/spreadsheets/d/1yBKzlp-kM9YyDtxbJa41kscT3zqxjlbgih8EJlLc2jU/edit?usp=sharing 
Thane ,https://docs.google.com/spreadsheets/d/1pwYLenLSirLZi7mN5zkgWf4vX22kXZafbmeTHrx3JJA/edit?usp=sharing 
Varanasi ,https://docs.google.com/spreadsheets/d/1IfSDUatQv8ER2RXidTq8xxkNkC5xB9Wuvfwot2k6Pvo/edit?usp=sharing 
Pune ,https://docs.google.com/spreadsheets/d/1g87IiJKXsLGebJgYmVMoRneBJfqXZFp4birg_Il-814/edit?usp=sharing
,
Mathura,https://docs.google.com/spreadsheets/d/1eIoOuUu96NQypBNaXiMMmXxMEuhVZpN8-nVyko8Ous8/edit?usp=sharing
,
"Sikar, Jhunjhunu, Navalgarh",https://docs.google.com/spreadsheets/d/1U4Xl6q6zZdWh_4XuhY3E8WieZuEXS0zsJTqmoscNxHE/edit?gid=0#gid=0 
Alwar ,https://docs.google.com/spreadsheets/d/11mSbyLXyVMw_aeI8wo3ii2O_nIJ55SsR_eNPSyo_kIM/edit?gid=0#gid=0
Jodhpur,https://docs.google.com/spreadsheets/d/1ORl5xFIaKhIqjAXeUUCRbmAcNdKV_und5MBZe14Bl0c/edit?gid=0#gid=0
Bharatpur ,https://docs.google.com/spreadsheets/d/1AoFj9sSbH8by6I2KF3JjzPfv87py71AEaIBcfg1VC78/edit?gid=0#gid=0
Bhopal (complete MP except Indore),https://docs.google.com/spreadsheets/d/1llQ6MFbEraBlNYK6UFg1n_e49kgS-52Sq8cAXoTbQqs/edit?usp=sharing
Kanpur / Unnao ,https://docs.google.com/spreadsheets/d/1TCule6azPxCykMs10K9h8NGSliYA9Fl2tNvaB-C3nLc/edit?usp=sharing
Mumbai Sub-urban ,https://docs.google.com/spreadsheets/d/1NPYcRIXiSEP0eYS8-K3XjW4RwRp_gTaC6Gv8R4sYb8w/edit?usp=sharing
Lucknow / Gorakhpur / Sitapur,https://docs.google.com/spreadsheets/d/1KSeOxqhGM6K91Avv-MWuC2sIUKCRjnkncLGuBFhyvIw/edit?usp=sharing
Ahmedabad,https://docs.google.com/spreadsheets/d/1D_4H9uQQRPol16za3nql6PX4OEz51ovpL8kPxe4LmMI/edit?gid=0#gid=0
Moradabad / Amroha,https://docs.google.com/spreadsheets/d/1oiVZjstUbkNgrbkhg2e07zSQ5ak5m489w8zOg4QB-BY/edit?gid=0#gid=0
MP-Bhopal (Except Indore),https://docs.google.com/spreadsheets/d/1llQ6MFbEraBlNYK6UFg1n_e49kgS-52Sq8cAXoTbQqs/edit?usp=sharing
Indore ,https://docs.google.com/spreadsheets/d/1UffktlcPesIj4ag_zeI2FP_wsWth3NvtACdGRmYe570/edit?usp=sharing
Bhubaneshwar,https://docs.google.com/spreadsheets/d/1Yr-hYsHlXu6mhab5v8jFk56y22uQKp4wHr3QDA5fDmw/edit?usp=sharing
